Name,Age,Purpose,Depature,Destination,PeriodOfStay
라효은,58,business,gimpo,fukuoka,4
편강민,17,tourism,busan,saporo,88
국진서,12,other,jeju,saporo,64
양승재,0,other,incheon,osaka,9
곽다빈,21,business,incheon,fukuoka,40
모이한,35,other,gimpo,tokyo,31
하시은,68,tourism,jeju,saporo,38
고연수,5,tourism,busan,osaka,57
팽은유,11,business,incheon,tokyo,30
허예서,38,business,busan,osaka,90
팽재원,71,business,incheon,osaka,52
시현민,40,business,jeju,tokyo,37
우서정,75,other,busan,saporo,86
홍채희,48,tourism,busan,osaka,68
변다원,11,business,gimpo,osaka,77
옥혜윤,17,business,incheon,tokyo,85
천이든,1,other,busan,osaka,65
음선우,74,other,incheon,fukuoka,15
나하음,76,tourism,incheon,saporo,46
도서정,26,tourism,gimpo,fukuoka,76
최이나,18,tourism,incheon,saporo,47
용연준,70,other,jeju,saporo,88
호지연,17,business,incheon,osaka,49
탁하린,38,business,busan,fukuoka,60
방주연,18,business,incheon,fukuoka,52
선태준,74,tourism,busan,osaka,59
노승호,7,tourism,incheon,tokyo,18
제승원,72,tourism,jeju,saporo,5
빈도경,8,tourism,gimpo,saporo,35
연은우,27,business,busan,saporo,3
정온유,6,tourism,jeju,fukuoka,66
여지유,7,other,busan,osaka,38
임성원,46,other,gimpo,fukuoka,31
윤재현,8,tourism,jeju,fukuoka,29
원서인,57,tourism,gimpo,osaka,57
갈솔,66,tourism,gimpo,fukuoka,68
복예슬,10,business,busan,saporo,38
범주연,20,tourism,incheon,fukuoka,17
당한율,24,tourism,jeju,osaka,9
위하엘,76,business,gimpo,fukuoka,18
허하랑,51,other,jeju,saporo,54
성가온,38,tourism,jeju,osaka,67
류서빈,18,other,busan,osaka,4
설고은,14,business,gimpo,osaka,68
갈태호,80,tourism,incheon,fukuoka,23
조도연,48,business,gimpo,tokyo,81
채준희,27,other,busan,saporo,12
염윤,27,business,busan,fukuoka,51
방원우,75,tourism,jeju,saporo,47
가로운,67,other,gimpo,fukuoka,41
한별,2,other,jeju,fukuoka,24
옥민정,15,tourism,jeju,osaka,88
두강민,43,tourism,incheon,fukuoka,74
허소민,58,tourism,incheon,fukuoka,63
임현서,9,other,incheon,fukuoka,7
신지호,46,tourism,incheon,osaka,40
천주하,39,business,incheon,fukuoka,25
기제인,47,other,jeju,tokyo,51
장라온,30,tourism,jeju,saporo,24
원연서,35,other,busan,osaka,27
당리안,38,business,gimpo,fukuoka,60
방윤채,48,tourism,gimpo,fukuoka,21
육재민,58,other,jeju,saporo,47
변진혁,63,other,gimpo,saporo,69
노주환,38,tourism,incheon,fukuoka,24
엄현진,49,tourism,gimpo,saporo,60
류유나,45,tourism,gimpo,osaka,33
천주영,78,business,gimpo,fukuoka,68
편수민,27,other,incheon,fukuoka,41
설원준,35,tourism,gimpo,fukuoka,48
편이현,64,business,gimpo,saporo,2
어효원,40,other,gimpo,saporo,17
황태린,16,tourism,busan,tokyo,67
하영준,74,tourism,busan,tokyo,29
박재원,6,other,busan,tokyo,57
김지오,27,tourism,busan,osaka,35
황우진,73,tourism,incheon,tokyo,79
염단우,72,other,jeju,saporo,67
복규빈,39,business,jeju,saporo,45
채동건,59,other,gimpo,fukuoka,31
모효원,5,other,gimpo,fukuoka,10
동동혁,2,business,jeju,saporo,10
호승빈,43,business,incheon,saporo,55
김민하,35,business,gimpo,saporo,7
강현민,54,other,gimpo,fukuoka,56
우하민,67,tourism,incheon,fukuoka,46
선소원,33,other,jeju,saporo,38
곽지원,77,tourism,busan,saporo,68
당성빈,23,business,busan,saporo,30
설지온,67,tourism,gimpo,saporo,12
함하랑,69,business,gimpo,tokyo,33
곽재율,19,other,gimpo,saporo,15
한하음,17,business,gimpo,osaka,29
신동혁,20,business,busan,saporo,29
예하진,35,business,busan,tokyo,5
갈가빈,58,other,jeju,saporo,70
엄도경,19,business,gimpo,saporo,59
전윤진,19,other,gimpo,saporo,85
양태성,14,other,gimpo,saporo,16
염서원,48,tourism,gimpo,osaka,7
온도훈,4,tourism,incheon,osaka,50
표우성,0,tourism,incheon,osaka,28
오시현,19,tourism,busan,fukuoka,9
구예성,9,tourism,busan,osaka,12
오제이,3,other,jeju,tokyo,46
천지연,63,other,gimpo,saporo,87
민리아,53,tourism,jeju,fukuoka,40
배은율,31,other,busan,tokyo,59
지현진,38,other,incheon,saporo,80
부다현,40,business,busan,osaka,7
장준석,54,business,jeju,saporo,88
박지민,38,tourism,busan,tokyo,67
노하민,69,business,jeju,fukuoka,70
동도훈,6,other,incheon,tokyo,49
유채희,47,business,incheon,tokyo,51
빈유성,38,tourism,busan,osaka,35
안별,25,tourism,incheon,osaka,65
진채현,59,tourism,incheon,fukuoka,82
김시은,59,business,incheon,fukuoka,37
류하은,4,business,gimpo,osaka,83
함다율,79,tourism,gimpo,saporo,86
은서인,67,other,incheon,fukuoka,80
범서아,64,business,incheon,osaka,54
설다희,56,other,jeju,tokyo,60
위동현,2,tourism,gimpo,fukuoka,38
연윤찬,27,other,incheon,fukuoka,23
감채현,53,tourism,gimpo,fukuoka,88
인태영,59,other,busan,saporo,4
남유현,40,other,incheon,osaka,81
국유이,25,other,gimpo,tokyo,22
지준수,52,other,incheon,fukuoka,26
추진호,10,tourism,incheon,osaka,66
소승유,56,tourism,jeju,fukuoka,48
기서준,35,other,incheon,tokyo,26
모지혜,10,tourism,busan,tokyo,90
경지수,47,tourism,busan,tokyo,38
홍채아,56,business,incheon,fukuoka,44
옥윤찬,54,other,incheon,tokyo,76
진태훈,68,other,busan,fukuoka,88
편세아,37,business,jeju,fukuoka,15
설민재,1,tourism,busan,fukuoka,66
시아현,33,tourism,jeju,tokyo,39
제현빈,70,business,busan,saporo,38
라우준,20,tourism,gimpo,osaka,78
장태린,55,other,jeju,tokyo,72
이유진,28,business,incheon,osaka,6
설유이,19,tourism,incheon,fukuoka,56
윤주연,38,other,gimpo,osaka,55
허재원,10,tourism,gimpo,tokyo,84
문혜성,21,business,busan,fukuoka,50
마가인,18,other,incheon,saporo,59
설윤성,17,tourism,incheon,fukuoka,38
현민서,49,tourism,jeju,osaka,10
오윤서,53,tourism,incheon,fukuoka,84
곽준호,7,business,gimpo,saporo,17
부동준,28,other,jeju,tokyo,1
황승윤,59,tourism,jeju,osaka,59
민은율,15,tourism,incheon,tokyo,30
한승윤,20,business,gimpo,tokyo,22
연연주,13,tourism,busan,osaka,74
제규민,57,business,gimpo,fukuoka,51
금예슬,44,business,jeju,fukuoka,66
왕하온,25,other,incheon,osaka,61
선가을,45,business,gimpo,tokyo,19
최정원,44,other,gimpo,tokyo,28
육민재,11,tourism,gimpo,osaka,23
부예지,75,business,incheon,tokyo,87
정지용,15,other,gimpo,saporo,53
예서율,22,other,jeju,tokyo,78
인유민,20,business,busan,saporo,50
견주현,55,business,busan,tokyo,77
엄현호,51,business,jeju,fukuoka,2
주재원,15,other,gimpo,fukuoka,59
부정현,28,other,incheon,osaka,71
정영준,69,other,jeju,osaka,51
좌건,49,business,gimpo,osaka,3
류재혁,73,other,busan,tokyo,64
곽아연,78,business,gimpo,fukuoka,8
원서영,74,tourism,gimpo,osaka,69
차태민,42,tourism,incheon,saporo,66
노가윤,4,other,jeju,tokyo,15
길도경,43,business,jeju,saporo,37
편보민,44,other,incheon,tokyo,23
인시우,72,business,busan,osaka,55
국지웅,43,other,incheon,tokyo,10
선우찬,34,tourism,jeju,osaka,24
목서준,68,business,incheon,saporo,29
갈하빈,80,other,gimpo,fukuoka,6
승서후,28,business,jeju,osaka,51
음시호,22,tourism,incheon,fukuoka,44
홍유라,37,business,incheon,osaka,76
박주한,28,other,incheon,fukuoka,69
홍아준,34,tourism,gimpo,fukuoka,80
박재율,29,other,jeju,tokyo,31
음하빈,30,other,incheon,saporo,76
차서윤,54,business,incheon,saporo,3
왕소영,74,business,gimpo,saporo,33
황이안,19,other,incheon,tokyo,52
상수현,49,other,busan,osaka,10
간아현,28,tourism,gimpo,saporo,15
갈준,53,other,jeju,saporo,31
노준수,18,tourism,busan,osaka,5
호서후,21,business,gimpo,osaka,29
성서율,27,business,busan,osaka,57
금연주,14,tourism,jeju,tokyo,90
원현호,15,tourism,gimpo,saporo,41
노유림,20,tourism,busan,tokyo,45
설희원,20,other,jeju,fukuoka,55
진성민,37,other,jeju,fukuoka,27
피이솔,59,other,incheon,osaka,36
심대현,35,tourism,busan,saporo,44
주한율,22,other,jeju,fukuoka,18
기서희,64,business,jeju,saporo,11
노현준,34,other,gimpo,osaka,30
동윤,53,tourism,incheon,tokyo,69
소수호,14,other,jeju,osaka,31
육지안,5,tourism,gimpo,osaka,10
시채린,45,other,gimpo,osaka,68
호준영,16,other,busan,osaka,3
현율,41,business,busan,saporo,79
목설,3,business,gimpo,tokyo,75
동형준,50,business,busan,fukuoka,76
강태훈,48,other,incheon,tokyo,54
부주희,45,business,incheon,fukuoka,38
오유안,49,other,busan,saporo,21
임채이,71,business,incheon,saporo,48
석재은,20,other,jeju,osaka,23
단은수,41,tourism,gimpo,fukuoka,36
노시호,4,business,busan,saporo,42
용재현,36,business,incheon,osaka,22
간예원,3,other,busan,osaka,1
제지완,35,business,gimpo,fukuoka,28
어연재,47,other,busan,osaka,8
반지우,56,business,jeju,saporo,89
고다온,21,business,incheon,tokyo,47
지현준,26,business,gimpo,saporo,1
제우찬,37,business,busan,tokyo,67
최수혁,15,tourism,incheon,saporo,11
우이안,13,business,jeju,osaka,48
곽현석,24,tourism,incheon,tokyo,14
윤우주,38,tourism,incheon,saporo,80
복은우,30,business,incheon,tokyo,25
금윤성,62,business,jeju,saporo,49
복준원,65,other,gimpo,saporo,90
목시원,28,business,incheon,tokyo,39
방준형,49,business,busan,fukuoka,48
표한울,51,other,gimpo,osaka,64
황지후,69,tourism,busan,tokyo,19
승수인,54,other,incheon,osaka,51
가정원,25,business,jeju,fukuoka,83
용채이,66,tourism,gimpo,saporo,46
어예원,75,other,jeju,fukuoka,25
전민정,3,business,gimpo,fukuoka,23
소동혁,43,tourism,jeju,osaka,75
예예인,73,other,incheon,tokyo,74
봉지율,80,business,jeju,tokyo,80
경연준,8,business,jeju,fukuoka,86
갈다영,10,business,gimpo,fukuoka,70
노민기,2,other,jeju,osaka,77
민수정,65,other,incheon,fukuoka,66
제은준,54,tourism,jeju,fukuoka,12
모민성,11,business,jeju,saporo,21
문강현,68,other,busan,osaka,87
오연아,25,business,incheon,osaka,52
국솔,28,tourism,incheon,saporo,42
도규빈,27,other,incheon,saporo,61
예솔,32,tourism,gimpo,osaka,53
단현아,32,business,gimpo,osaka,26
예하랑,54,tourism,incheon,fukuoka,60
형재원,69,tourism,jeju,saporo,2
양혜린,31,other,busan,osaka,61
용신우,73,tourism,busan,tokyo,71
연주아,67,business,gimpo,tokyo,35
명라윤,9,business,busan,osaka,44
금지율,42,business,jeju,saporo,73
금시현,50,tourism,incheon,osaka,42
상재윤,42,business,jeju,tokyo,10
연로아,54,business,busan,saporo,1
좌성윤,60,business,incheon,tokyo,35
마소연,73,business,busan,tokyo,47
어이든,80,other,jeju,saporo,47
허유진,53,tourism,jeju,fukuoka,2
마윤우,55,tourism,gimpo,fukuoka,69
좌동하,22,business,busan,saporo,73
감나경,43,other,incheon,fukuoka,21
우서린,34,business,busan,fukuoka,1
소우준,57,other,gimpo,fukuoka,38
유이솔,55,tourism,jeju,fukuoka,71
용민하,2,tourism,busan,osaka,78
유하진,14,tourism,incheon,fukuoka,5
공도진,68,tourism,incheon,tokyo,82
최태율,46,tourism,gimpo,osaka,33
박도율,5,other,incheon,fukuoka,4
김은채,53,tourism,busan,saporo,79
윤정은,58,other,jeju,tokyo,71
선민석,61,business,incheon,osaka,8
부채아,36,other,busan,saporo,73
문지웅,31,business,gimpo,saporo,56
부하윤,19,business,busan,saporo,81
은태민,50,tourism,gimpo,osaka,59
정은수,28,other,gimpo,fukuoka,56
호주호,45,business,busan,tokyo,67
탁주완,50,other,gimpo,osaka,73
조채영,8,other,gimpo,fukuoka,75
호예지,52,business,incheon,tokyo,6
기성원,32,tourism,jeju,osaka,64
조지율,5,tourism,gimpo,osaka,29
인지연,43,business,incheon,tokyo,30
선태성,62,tourism,gimpo,saporo,61
민온유,38,business,busan,tokyo,34
빈아름,63,tourism,gimpo,saporo,67
동은채,59,other,incheon,osaka,85
팽성우,7,business,busan,fukuoka,62
방유림,16,other,busan,fukuoka,57
시민수,61,other,jeju,fukuoka,5
범승환,61,other,gimpo,tokyo,55
공민혁,63,business,jeju,osaka,41
경혜빈,49,business,gimpo,fukuoka,37
석태현,16,business,incheon,osaka,2
오지후,29,other,gimpo,saporo,74
두혜정,50,other,gimpo,fukuoka,32
상채민,57,other,jeju,saporo,70
예도아,55,tourism,jeju,osaka,46
권지윤,1,business,gimpo,osaka,62
국종현,59,business,gimpo,tokyo,85
선승연,41,other,jeju,osaka,79
노지민,69,tourism,incheon,saporo,78
윤유안,48,business,incheon,saporo,62
제원준,56,business,busan,fukuoka,17
현은성,67,other,incheon,saporo,80
견윤찬,58,tourism,jeju,tokyo,73
기민혁,47,tourism,incheon,osaka,66
형채희,13,tourism,gimpo,tokyo,75
곽가온,14,other,jeju,fukuoka,14
길은혜,77,business,incheon,osaka,54
문은수,59,other,busan,fukuoka,76
감윤주,54,business,jeju,tokyo,83
감현준,67,tourism,jeju,tokyo,39
사서진,7,other,incheon,fukuoka,30
문아영,8,other,jeju,tokyo,70
염민호,34,other,gimpo,osaka,44
국우진,42,other,gimpo,osaka,18
송소현,28,other,busan,tokyo,49
탁별,7,tourism,gimpo,tokyo,68
엄나윤,21,business,incheon,fukuoka,57
가민영,57,business,gimpo,fukuoka,9
함태리,77,tourism,busan,saporo,62
형태경,15,tourism,busan,saporo,6
여하늘,18,tourism,jeju,osaka,7
호정윤,36,business,busan,saporo,54
기하람,35,business,gimpo,tokyo,11
모지성,58,business,jeju,saporo,69
엄주현,12,other,incheon,saporo,77
당하람,66,other,busan,fukuoka,81
조소영,79,business,incheon,saporo,75
이도진,50,business,busan,tokyo,27
안대현,65,business,jeju,osaka,24
백규빈,54,other,incheon,fukuoka,6
노하엘,65,tourism,gimpo,tokyo,1
단재희,49,business,gimpo,saporo,82
이다영,15,business,incheon,osaka,43
설정현,27,business,gimpo,tokyo,70
탁성준,15,other,incheon,fukuoka,31
고서연,10,tourism,busan,osaka,25
은승후,20,business,busan,fukuoka,52
음다영,10,other,jeju,tokyo,88
배예나,30,other,jeju,osaka,8
양산,1,tourism,busan,fukuoka,58
나동우,29,tourism,busan,fukuoka,8
상윤건,1,other,busan,saporo,27
방은빈,66,business,busan,saporo,41
남나경,15,business,busan,osaka,56
온승연,10,business,jeju,fukuoka,51
홍성민,20,other,jeju,saporo,29
인하나,48,tourism,incheon,fukuoka,32
어윤서,59,tourism,incheon,fukuoka,46
이다온,6,business,jeju,tokyo,60
어유정,15,other,incheon,saporo,68
감주안,18,other,incheon,saporo,72
윤은준,43,other,jeju,osaka,39
기은서,6,tourism,incheon,osaka,60
현이든,41,other,busan,fukuoka,3
팽지원,66,business,jeju,saporo,51
우유안,28,tourism,incheon,saporo,34
엄규민,28,business,incheon,fukuoka,54
추주원,44,other,jeju,tokyo,24
엄태오,28,tourism,busan,tokyo,8
천윤아,35,business,jeju,fukuoka,59
진도진,36,business,busan,osaka,6
금지호,27,business,busan,tokyo,62
전동훈,76,business,jeju,fukuoka,30
임윤진,17,other,busan,fukuoka,88
제준희,21,tourism,gimpo,fukuoka,78
마승아,52,other,jeju,saporo,8
도수인,77,other,incheon,fukuoka,1
민고은,31,tourism,jeju,saporo,64
피로아,56,other,incheon,saporo,12
홍하영,80,business,incheon,saporo,34
오현준,57,tourism,busan,tokyo,20
우용준,58,tourism,gimpo,osaka,83
태진혁,66,other,gimpo,saporo,55
위민건,12,other,busan,osaka,19
최은별,79,business,jeju,fukuoka,87
원한율,45,other,busan,osaka,22
류진호,72,tourism,jeju,osaka,34
경가을,34,tourism,gimpo,tokyo,14
형태린,62,business,incheon,saporo,64
예이안,47,business,busan,saporo,43
공준성,45,tourism,busan,osaka,51
라제이,53,tourism,gimpo,osaka,65
옥희찬,16,other,incheon,osaka,71
목채연,47,business,gimpo,fukuoka,42
지하성,12,tourism,gimpo,saporo,67
호혜인,28,tourism,incheon,tokyo,4
안승현,58,business,gimpo,fukuoka,88
서연아,23,tourism,jeju,saporo,38
팽혜민,12,business,busan,saporo,37
노현진,3,other,jeju,osaka,42
반단비,33,tourism,jeju,fukuoka,63
신하율,18,tourism,jeju,tokyo,25
라재이,3,tourism,busan,fukuoka,16
정하나,3,business,incheon,fukuoka,48
지건호,21,business,busan,fukuoka,9
최정우,16,business,busan,osaka,50
설지온,21,other,incheon,osaka,78
한민주,63,business,busan,tokyo,44
곽지후,30,tourism,incheon,saporo,5
태채린,36,tourism,busan,tokyo,34
형윤,42,business,incheon,fukuoka,27
명다빈,45,other,incheon,tokyo,11
나은별,65,tourism,gimpo,osaka,43
라지율,4,business,busan,tokyo,88
은서호,40,business,gimpo,tokyo,76
허태우,76,business,incheon,fukuoka,90
명은율,71,tourism,incheon,fukuoka,84
공승유,27,business,busan,fukuoka,48
임하율,32,other,gimpo,osaka,48
갈시준,43,tourism,incheon,osaka,77
형해준,31,other,jeju,tokyo,32
변다현,14,business,jeju,fukuoka,1
엄이안,24,business,jeju,saporo,86
윤다원,39,other,jeju,osaka,79
공현,29,tourism,busan,saporo,11
양세아,17,tourism,gimpo,saporo,77
안은별,63,tourism,busan,fukuoka,26
용동우,23,business,jeju,tokyo,53
사은재,4,other,gimpo,osaka,8
천제이,40,business,incheon,osaka,78
호한나,38,business,busan,tokyo,18
전유이,40,business,busan,osaka,15
이가연,2,business,gimpo,osaka,69
우루아,16,tourism,jeju,tokyo,85
박혜정,4,business,busan,tokyo,7
윤지영,60,business,gimpo,fukuoka,42
진아린,48,tourism,gimpo,saporo,81
장현우,75,business,incheon,fukuoka,46
이지오,77,tourism,busan,tokyo,55
현지운,51,tourism,busan,fukuoka,41
두민영,11,tourism,gimpo,saporo,8
길유현,3,other,busan,fukuoka,64
왕민경,70,tourism,busan,tokyo,68
고다연,21,tourism,gimpo,saporo,47
위채윤,48,business,busan,osaka,51
채지유,68,tourism,incheon,osaka,69
성이현,61,business,jeju,tokyo,84
허유리,9,tourism,gimpo,osaka,9
현건호,55,tourism,incheon,tokyo,64
손소원,8,tourism,gimpo,saporo,38
성성훈,67,other,jeju,fukuoka,46
지수정,34,tourism,incheon,saporo,54
장동하,42,other,busan,tokyo,6
천다희,22,other,jeju,fukuoka,15
기나린,2,business,incheon,osaka,52
장정현,41,other,gimpo,fukuoka,51
간도겸,53,other,gimpo,tokyo,13
우주안,39,tourism,jeju,saporo,30
함예찬,48,business,busan,osaka,29
태다혜,0,other,jeju,saporo,59
공민영,0,business,jeju,osaka,26
명윤채,40,other,busan,tokyo,63
김민솔,32,business,gimpo,tokyo,72
성라희,54,tourism,jeju,fukuoka,25
좌태희,80,other,incheon,tokyo,43
심준희,30,business,incheon,saporo,19
채유라,35,other,busan,osaka,82
형시우,72,tourism,incheon,osaka,44
기채영,27,business,busan,tokyo,8
양소담,53,tourism,busan,fukuoka,75
문이한,7,business,incheon,fukuoka,56
금수지,69,business,busan,tokyo,14
신진호,13,other,busan,osaka,5
오은유,74,other,incheon,fukuoka,57
한윤주,14,business,gimpo,osaka,75
동수호,39,business,busan,saporo,40
엄지후,72,business,gimpo,fukuoka,72
반승아,9,business,gimpo,saporo,20
곽현,75,business,busan,tokyo,47
오도율,78,business,busan,osaka,88
명율,74,other,jeju,tokyo,45
오서우,8,business,jeju,osaka,39
명수빈,15,tourism,busan,tokyo,64
윤재민,45,business,jeju,osaka,51
채승재,67,tourism,gimpo,tokyo,23
사동혁,61,business,incheon,tokyo,12
시유현,0,tourism,incheon,fukuoka,82
호윤,65,business,gimpo,fukuoka,55
예은찬,56,tourism,gimpo,tokyo,34
서서린,60,tourism,busan,osaka,2
홍주희,26,business,busan,osaka,62
유태환,29,tourism,jeju,tokyo,34
당시우,11,other,jeju,osaka,40
범은솔,38,tourism,busan,osaka,33
손유빈,77,other,jeju,tokyo,66
경정빈,15,other,gimpo,tokyo,62
맹윤찬,66,other,busan,tokyo,42
주재윤,11,other,jeju,tokyo,18
견유민,64,other,jeju,tokyo,44
손혜진,57,other,gimpo,fukuoka,38
서하은,68,business,incheon,saporo,27
주세빈,53,tourism,gimpo,tokyo,53
주요한,1,tourism,incheon,osaka,32
범정빈,60,other,incheon,osaka,74
예도희,68,tourism,jeju,saporo,6
서하랑,74,tourism,busan,tokyo,21
당아린,35,other,jeju,osaka,19
신하준,59,tourism,busan,saporo,61
좌효원,10,tourism,busan,saporo,2
맹윤건,19,other,jeju,osaka,48
명민결,2,business,jeju,fukuoka,19
간범준,12,other,gimpo,saporo,48
김승재,19,tourism,jeju,fukuoka,79
배은지,8,tourism,incheon,saporo,51
표주은,40,tourism,incheon,osaka,53
빈소담,30,other,gimpo,tokyo,8
감소민,18,other,gimpo,osaka,38
권승환,73,other,busan,saporo,32
제재희,26,business,gimpo,tokyo,87
전이든,11,business,gimpo,fukuoka,35
최요한,25,other,gimpo,saporo,23
구민아,80,tourism,jeju,saporo,29
백유안,58,business,jeju,osaka,82
채도연,24,business,jeju,saporo,64
전하윤,36,business,busan,fukuoka,31
임서우,59,business,busan,osaka,52
모채민,64,tourism,busan,saporo,32
왕소윤,4,business,gimpo,fukuoka,65
맹채희,73,business,busan,saporo,63
오하민,45,tourism,gimpo,saporo,42
팽리나,48,business,jeju,tokyo,9
성새봄,55,other,incheon,fukuoka,41
동선우,8,other,incheon,osaka,23
견민기,52,business,jeju,tokyo,7
음지영,43,business,jeju,tokyo,44
라유라,76,other,gimpo,saporo,45
염주은,74,tourism,busan,fukuoka,49
천수정,41,other,busan,fukuoka,34
단다혜,46,other,incheon,tokyo,74
민효주,51,other,gimpo,tokyo,10
손준현,30,tourism,incheon,saporo,79
하서인,41,other,busan,fukuoka,17
민승재,54,tourism,busan,osaka,11
장유은,57,tourism,gimpo,saporo,12
권현호,70,business,jeju,osaka,40
고은성,19,other,gimpo,osaka,67
심아윤,53,business,gimpo,fukuoka,79
피시율,70,business,incheon,saporo,29
복하윤,37,other,incheon,tokyo,65
김서빈,3,tourism,jeju,osaka,45
정하리,79,business,busan,saporo,87
팽성윤,16,tourism,jeju,saporo,50
피수현,68,other,jeju,fukuoka,14
변세연,35,tourism,jeju,fukuoka,35
길하리,4,tourism,incheon,osaka,16
감석현,57,tourism,gimpo,tokyo,41
예나은,23,tourism,gimpo,saporo,51
명유나,24,other,busan,saporo,54
함은서,42,tourism,jeju,saporo,75
제도은,53,tourism,incheon,fukuoka,47
민정후,55,other,jeju,osaka,25
음은수,27,business,jeju,tokyo,40
백다연,34,other,busan,fukuoka,24
엄아윤,29,business,jeju,osaka,69
모채빈,53,other,busan,tokyo,60
상산,63,tourism,busan,saporo,24
엄윤건,67,business,busan,tokyo,64
원지영,80,tourism,jeju,osaka,63
국아준,21,tourism,incheon,saporo,12
도용준,67,other,incheon,osaka,50
소아연,0,tourism,busan,fukuoka,45
기다빈,36,other,incheon,osaka,20
구원우,66,tourism,incheon,saporo,70
전은설,69,other,gimpo,osaka,52
옥소정,64,other,jeju,osaka,41
형나율,34,business,gimpo,osaka,22
황진호,44,other,jeju,fukuoka,45
유진혁,72,tourism,gimpo,osaka,85
승지윤,5,tourism,incheon,tokyo,47
염현우,26,business,busan,tokyo,45
현원준,26,tourism,incheon,tokyo,15
한승연,61,tourism,jeju,tokyo,32
범유경,11,other,incheon,tokyo,82
현유나,17,tourism,incheon,fukuoka,21
가지민,61,business,incheon,osaka,86
사하은,14,other,busan,fukuoka,59
단은솔,62,business,busan,osaka,66
사서인,71,business,incheon,tokyo,53
조가현,70,business,gimpo,tokyo,57
사은성,60,other,jeju,saporo,76
봉윤호,14,other,incheon,osaka,1
원준,79,tourism,jeju,fukuoka,73
권재인,47,tourism,incheon,tokyo,10
모현아,29,other,incheon,saporo,15
진시은,52,business,jeju,tokyo,70
소정민,26,tourism,jeju,saporo,74
이다영,52,business,incheon,saporo,24
문채율,71,business,incheon,tokyo,89
백이현,17,tourism,incheon,tokyo,49
봉은수,71,business,incheon,saporo,84
좌우성,19,other,busan,saporo,3
예미소,59,tourism,busan,tokyo,76
당규빈,9,business,busan,tokyo,38
허소담,9,tourism,gimpo,osaka,72
피승연,51,other,incheon,saporo,67
모지아,77,business,incheon,saporo,39
강도준,14,business,busan,saporo,3
류하율,79,tourism,incheon,osaka,4
지진혁,57,other,busan,tokyo,36
안재이,11,other,busan,fukuoka,15
심승찬,55,business,incheon,saporo,31
당소정,60,other,jeju,fukuoka,45
당성빈,22,business,incheon,saporo,47
인수지,37,other,busan,tokyo,13
서설아,68,business,busan,saporo,55
추라희,79,other,busan,tokyo,28
갈재희,31,other,busan,tokyo,36
시여준,1,business,jeju,osaka,82
탁다연,5,other,gimpo,saporo,19
구혜윤,43,business,busan,saporo,30
고지원,11,other,busan,fukuoka,79
고보미,47,tourism,incheon,saporo,5
좌민규,57,tourism,busan,fukuoka,55
선로아,21,business,busan,fukuoka,65
문우현,35,tourism,jeju,osaka,36
국도현,76,tourism,jeju,tokyo,49
전재윤,4,other,incheon,fukuoka,71
공주안,43,tourism,gimpo,fukuoka,80
장혜윤,51,other,jeju,osaka,14
편주원,36,tourism,gimpo,osaka,26
좌유하,61,other,incheon,tokyo,51
단정현,46,tourism,busan,tokyo,80
채윤아,41,business,jeju,osaka,43
편효린,38,business,busan,fukuoka,85
황건호,26,other,busan,saporo,88
전혜린,60,tourism,incheon,saporo,81
간승호,19,other,busan,osaka,77
선주영,58,business,gimpo,fukuoka,68
갈채원,0,tourism,incheon,osaka,86
당혜정,16,business,gimpo,tokyo,9
라유민,36,business,incheon,tokyo,90
제은유,61,business,gimpo,osaka,37
배서연,18,business,jeju,osaka,38
국하리,42,business,incheon,osaka,85
빈호준,3,other,gimpo,tokyo,11
심태린,36,tourism,incheon,tokyo,72
천승재,23,business,busan,osaka,72
노채현,56,business,gimpo,tokyo,4
채단비,33,business,jeju,tokyo,56
피도경,30,other,incheon,saporo,49
전서진,9,business,incheon,saporo,40
차채율,46,tourism,busan,osaka,72
민이한,19,other,jeju,tokyo,20
김선우,30,other,jeju,saporo,12
홍지효,32,business,incheon,saporo,44
봉고은,41,business,busan,tokyo,7
범은찬,77,business,busan,tokyo,29
옥이솔,9,business,gimpo,fukuoka,71
온정빈,14,tourism,busan,osaka,36
우다은,33,tourism,incheon,tokyo,89
갈재영,45,business,busan,tokyo,26
설지안,9,tourism,gimpo,saporo,82
기승아,33,tourism,busan,saporo,51
윤수아,20,business,jeju,tokyo,8
금태민,7,other,busan,fukuoka,42
육도율,30,business,gimpo,saporo,24
길유빈,27,other,busan,tokyo,28
왕승찬,50,business,jeju,saporo,72
천은수,58,other,busan,saporo,68
손연호,7,business,jeju,fukuoka,69
승지성,20,other,incheon,osaka,16
송민경,46,business,gimpo,fukuoka,15
주연수,9,business,incheon,osaka,85
차단아,54,tourism,jeju,osaka,45
신현승,30,tourism,busan,saporo,16
육윤우,56,business,gimpo,tokyo,59
두수아,45,tourism,gimpo,osaka,41
유한결,72,other,busan,fukuoka,43
육윤성,79,business,jeju,saporo,20
부민경,12,tourism,incheon,tokyo,5
나수아,68,other,incheon,tokyo,83
팽채원,29,other,jeju,osaka,64
호은수,42,other,incheon,osaka,56
음리원,7,other,busan,tokyo,77
소승빈,1,tourism,gimpo,saporo,73
서주영,4,other,jeju,osaka,53
나재원,52,other,jeju,saporo,5
강이한,5,tourism,gimpo,fukuoka,67
하서진,58,tourism,busan,fukuoka,31
길준석,54,tourism,jeju,osaka,88
우영준,40,tourism,incheon,saporo,1
방승현,58,other,jeju,osaka,4
